batch_id,batch_position,event_id,symbol,trade_date,review_status,resolution_timestamp,evidence_url,reason
G1-BATCH-001,1,HEJFE-8D40B9782E1E6F33,HON,2012-01-26,UNRESOLVED_AFTER_REVIEW,,,NO_UNAMBIGUOUS_PRIMARY_OR_WIRE_FIRST_PUBLIC_TIMESTAMP_CONFIRMED
G1-BATCH-001,2,HEJFE-D346C6CFDFB6E581,WTS,2015-02-17,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_EVENT_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,3,HEJFE-AC78A2434E4AE8FB,ACO,2013-04-25,UNRESOLVED_AFTER_REVIEW,,,DATE_ONLY_PUBLIC_RELEASE_EVIDENCE
G1-BATCH-001,4,HEJFE-EDFDC1213C9AF586,MXIM,2012-01-26,UNRESOLVED_AFTER_REVIEW,,,CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,5,HEJFE-4080E04F012A7290,QLIK,2015-02-12,UNRESOLVED_AFTER_REVIEW,,,NO_EXACT_FIRST_PUBLIC_TIMESTAMP_CONFIRMED
G1-BATCH-001,6,HEJFE-D7BD84C255F2273D,GORO,2013-05-08,UNRESOLVED_AFTER_REVIEW,,,NO_EXACT_FIRST_PUBLIC_TIMESTAMP_CONFIRMED
G1-BATCH-001,7,HEJFE-AF58BD8CAE4E8D1C,FLT,2015-04-30,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,8,HEJFE-5E9AD5C9AD67944D,CSOD,2015-05-06,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,9,HEJFE-12CC8075D3F634CD,ECOL,2013-04-24,UNRESOLVED_AFTER_REVIEW,,,CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,10,HEJFE-847F0EFE669B2440,P,2015-02-05,UNRESOLVED_AFTER_REVIEW,,,NO_EXACT_FIRST_PUBLIC_TIMESTAMP_CONFIRMED
G1-BATCH-001,11,HEJFE-AF5106891E058D23,TNGO,2015-02-12,UNRESOLVED_AFTER_REVIEW,,,NO_EXACT_FIRST_PUBLIC_TIMESTAMP_CONFIRMED
G1-BATCH-001,12,HEJFE-6F0A7632D9B4FFF6,ACHC,2015-04-28,UNRESOLVED_AFTER_REVIEW,,,DATE_ONLY_OR_SEC_ACCEPTANCE_PROXY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,13,HEJFE-05DE1473D5D7F7FB,MFRM,2015-03-19,UNRESOLVED_AFTER_REVIEW,,,NO_EXACT_FIRST_PUBLIC_TIMESTAMP_CONFIRMED
G1-BATCH-001,14,HEJFE-87DDC59E7BB99A84,ALSN,2015-04-27,UNRESOLVED_AFTER_REVIEW,,,DATE_ONLY_OR_SEC_ACCEPTANCE_PROXY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,15,HEJFE-6C73B4B05384BC1E,PFPT,2013-04-25,UNRESOLVED_AFTER_REVIEW,,,NO_EXACT_FIRST_PUBLIC_TIMESTAMP_CONFIRMED
G1-BATCH-001,16,HEJFE-DC66D5F2BDEC7C74,NOW,2015-01-28,UNRESOLVED_AFTER_REVIEW,,,DATE_ONLY_PUBLIC_RELEASE_EVIDENCE
G1-BATCH-001,17,HEJFE-47A3794D1C360650,NOW,2015-04-16,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,18,HEJFE-9B84208BA575EAC4,RH,2015-03-26,UNRESOLVED_AFTER_REVIEW,,,AFTER_MARKET_CLOSE_WINDOW_ONLY_NOT_EXACT_TIMESTAMP
G1-BATCH-001,19,HEJFE-DF726FADF321F8E3,PVH,2015-03-25,UNRESOLVED_AFTER_REVIEW,,,DATE_ONLY_FOR_IMMEDIATE_RELEASE_EVIDENCE
G1-BATCH-001,20,HEJFE-EBC49B9A024181AD,VEEV,2015-03-03,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
